,open,high,low,close,volume
2023-06-07 11:20:00,1854.46,1854.46,1854.46,1854.46,1.0
2023-06-07 11:21:00,1854.46,1854.46,1854.46,1854.46,0.0
2023-06-07 11:22:00,1854.46,1854.46,1854.46,1854.46,0.0
2023-06-07 11:23:00,1854.46,1854.46,1854.46,1854.46,0.0
2023-06-07 11:24:00,1854.46,1854.46,1854.46,1854.46,0.0
2023-06-07 11:25:00,1854.46,1854.46,1854.46,1854.46,0.0
2023-06-07 11:26:00,1854.46,1855.26,1854.46,1854.62,5.61017
2023-06-07 11:27:00,1854.63,1855.51,1844.27,1855.51,25.02806
2023-06-07 11:28:00,1855.69,1856.88,1852.89,1856.36,33.62795
2023-06-07 11:29:00,1856.49,1856.99,1779.51,1856.99,23.42912
2023-06-07 11:30:00,1857.0,1857.71,1856.21,1856.28,7.63742
2023-06-07 11:31:00,1856.02,1856.59,1856.01,1856.52,7.45734
2023-06-07 11:32:00,1856.06,1856.06,1855.97,1855.97,0.7166
2023-06-07 11:33:00,1855.85,1855.92,1770.46,1855.22,17.89993
2023-06-07 11:34:00,1855.22,1855.94,1855.07,1855.94,5.53096
2023-06-07 11:35:00,1855.99,1855.99,1834.4,1854.8,16.64112
2023-06-07 11:36:00,1854.54,1855.21,1853.46,1854.84,23.86542
2023-06-07 11:37:00,1854.84,1855.98,1844.6,1855.97,37.10208
2023-06-07 11:38:00,1855.99,1856.52,1854.51,1856.52,33.90657
2023-06-07 11:39:00,1856.48,1857.36,1852.02,1857.35,25.36637
2023-06-07 11:40:00,1856.61,1856.91,1840.0,1855.95,41.87159
2023-06-07 11:41:00,1856.06,1856.31,1819.35,1855.89,49.05421
2023-06-07 11:42:00,1855.89,1855.89,1855.89,1855.89,48.94025
2023-06-07 11:43:00,1855.89,1858.24,1855.89,1858.24,39.50333
2023-06-07 11:44:00,1858.26,1917.6,1852.83,1859.92,38.28174
2023-06-07 11:45:00,1859.44,1860.56,1858.88,1859.08,13.24533
2023-06-07 11:46:00,1857.82,1858.08,1857.82,1857.95,2.40655
2023-06-07 11:47:00,1857.96,1858.83,1857.95,1858.83,15.6126
2023-06-07 11:48:00,1856.93,1856.93,1856.83,1856.91,3.0098
2023-06-07 11:49:00,1856.91,1856.91,1856.91,1856.91,0.0
2023-06-07 11:50:00,1856.46,1857.34,1856.3,1857.18,6.31454
2023-06-07 11:51:00,1857.05,1857.39,1855.82,1857.39,15.7402
2023-06-07 11:52:00,1857.4,1857.91,1857.39,1857.87,6.32579
2023-06-07 11:53:00,1857.94,1858.76,1857.91,1858.12,15.23334
2023-06-07 11:54:00,1857.62,1858.3,1857.62,1857.94,5.98454
2023-06-07 11:55:00,1858.31,1858.54,1857.66,1857.66,2.97053
2023-06-07 11:56:00,1857.32,1858.1,1857.18,1858.1,9.78537
2023-06-07 11:57:00,1857.84,1857.88,1857.56,1857.84,4.45675
2023-06-07 11:58:00,1857.76,1857.76,1667.58,1667.58,42.91617
2023-06-07 11:59:00,1667.58,1667.58,1667.58,1667.58,0.0
2023-06-07 12:00:00,1857.25,1857.68,1740.14,1857.68,23.16613
2023-06-07 12:01:00,1857.68,1857.78,1856.27,1857.67,22.68441
2023-06-07 12:02:00,1857.79,1858.16,1856.49,1856.49,26.78105
2023-06-07 12:03:00,1857.78,1857.79,1780.0,1857.63,34.09883
2023-06-07 12:04:00,1857.62,1857.79,1837.22,1857.79,43.27106
2023-06-07 12:05:00,1857.8,1857.8,1857.04,1857.8,15.57154
2023-06-07 12:06:00,1857.8,1857.8,1857.8,1857.8,0.0
2023-06-07 12:07:00,1857.8,1857.8,1857.41,1857.41,1.77474
2023-06-07 12:08:00,1857.44,1857.52,1857.43,1857.52,1.24895
2023-06-07 12:09:00,1857.69,1858.52,1857.67,1858.52,10.48959
2023-06-07 12:10:00,1858.64,1859.92,1845.0,1859.92,27.67799
2023-06-07 12:11:00,1859.95,1860.15,1859.95,1860.15,3.27943
2023-06-07 12:12:00,1860.11,1861.17,1860.11,1861.17,4.42571
2023-06-07 12:13:00,1861.34,1862.59,1861.04,1861.91,14.63717
2023-06-07 12:14:00,1861.06,1861.06,1857.3,1860.86,14.88084
2023-06-07 12:15:00,1860.84,1860.86,1859.73,1859.73,1.55844
2023-06-07 12:16:00,1859.08,1859.33,1859.08,1859.33,2.07612
2023-06-07 12:17:00,1859.14,1859.14,1858.82,1858.88,1.35019
