,open,high,low,close,volume
1686133200000,1854.46,1854.46,1854.46,1854.46,1.0
1686133260000,1854.46,1854.46,1854.46,1854.46,0.0
1686133320000,1854.46,1854.46,1854.46,1854.46,0.0
1686133380000,1854.46,1854.46,1854.46,1854.46,0.0
1686133440000,1854.46,1854.46,1854.46,1854.46,0.0
1686133500000,1854.46,1854.46,1854.46,1854.46,0.0
1686133560000,1854.46,1855.26,1854.46,1854.62,5.61017
1686133620000,1854.63,1855.51,1844.27,1855.51,25.02806
1686133680000,1855.69,1856.88,1852.89,1856.36,33.62795
1686133740000,1856.49,1856.99,1779.51,1856.99,23.42912
1686133800000,1857.0,1857.71,1856.21,1856.28,7.63742
1686133860000,1856.02,1856.59,1856.01,1856.52,7.45734
1686133920000,1856.06,1856.06,1855.97,1855.97,0.7166
1686133980000,1855.85,1855.92,1770.46,1855.22,17.89993
1686134040000,1855.22,1855.94,1855.07,1855.94,5.53096
1686134100000,1855.99,1855.99,1834.4,1854.8,16.64112
1686134160000,1854.54,1855.21,1853.46,1854.84,23.86542
1686134220000,1854.84,1855.98,1844.6,1855.97,37.10208
1686134280000,1855.99,1856.52,1854.51,1856.52,33.90657
1686134340000,1856.48,1857.36,1852.02,1857.35,25.36637
1686134400000,1856.61,1856.91,1840.0,1855.95,41.87159
1686134460000,1856.06,1856.31,1819.35,1855.89,49.05421
1686134520000,1855.89,1855.89,1855.89,1855.89,48.94025
1686134580000,1855.89,1858.24,1855.89,1858.24,39.50333
1686134640000,1858.26,1917.6,1852.83,1859.92,38.28174
1686134700000,1859.44,1860.56,1858.88,1859.08,13.24533
1686134760000,1857.82,1858.08,1857.82,1857.95,2.40655
1686134820000,1857.96,1858.83,1857.95,1858.83,15.6126
1686134880000,1856.93,1856.93,1856.83,1856.91,3.0098
1686134940000,1856.91,1856.91,1856.91,1856.91,0.0
1686135000000,1856.46,1857.34,1856.3,1857.18,6.31454
1686135060000,1857.05,1857.39,1855.82,1857.39,15.7402
1686135120000,1857.4,1857.91,1857.39,1857.87,6.32579
1686135180000,1857.94,1858.76,1857.91,1858.12,15.23334
1686135240000,1857.62,1858.3,1857.62,1857.94,5.98454
1686135300000,1858.31,1858.54,1857.66,1857.66,2.97053
1686135360000,1857.32,1858.1,1857.18,1858.1,9.78537
1686135420000,1857.84,1857.88,1857.56,1857.84,4.45675
1686135480000,1857.76,1857.76,1667.58,1667.58,42.91617
1686135540000,1667.58,1667.58,1667.58,1667.58,0.0
1686135600000,1857.25,1857.68,1740.14,1857.68,23.16613
1686135660000,1857.68,1857.78,1856.27,1857.67,22.68441
1686135720000,1857.79,1858.16,1856.49,1856.49,26.78105
1686135780000,1857.78,1857.79,1780.0,1857.63,34.09883
1686135840000,1857.62,1857.79,1837.22,1857.79,43.27106
1686135900000,1857.8,1857.8,1857.04,1857.8,15.57154
1686135960000,1857.8,1857.8,1857.8,1857.8,0.0
1686136020000,1857.8,1857.8,1857.41,1857.41,1.77474
1686136080000,1857.44,1857.52,1857.43,1857.52,1.24895
1686136140000,1857.69,1858.52,1857.67,1858.52,10.48959
1686136200000,1858.64,1859.92,1845.0,1859.92,27.67799
1686136260000,1859.95,1860.15,1859.95,1860.15,3.27943
1686136320000,1860.11,1861.17,1860.11,1861.17,4.42571
1686136380000,1861.34,1862.59,1861.04,1861.91,14.63717
1686136440000,1861.06,1861.06,1857.3,1860.86,14.88084
1686136500000,1860.84,1860.86,1859.73,1859.73,1.55844
1686136560000,1859.08,1859.33,1859.08,1859.33,2.07612
1686136620000,1859.14,1859.14,1858.82,1858.88,1.35019
1686136680000,1858.99,2019.11,1858.93,1859.57,29.98822
1686136740000,1859.54,1859.57,1859.54,1859.54,1.08437
1686136800000,1859.09,1859.09,1350.0,1858.74,18.76368
1686136860000,1858.74,1861.06,1858.74,1861.06,9.94108
1686136920000,1861.14,2019.11,1861.14,1863.84,22.71362
1686136980000,1863.78,1865.86,1863.78,1864.83,21.13968
1686137040000,1864.15,1865.51,1864.15,1865.48,11.16883
1686137100000,1864.99,1865.39,1863.78,1864.01,10.26744
1686137160000,1864.02,1864.9,1864.02,1864.67,10.7216
1686137220000,1864.69,1864.75,1863.69,1863.83,4.33248
1686137280000,1863.8,1863.8,1818.66,1818.66,23.4492
1686137340000,1863.46,1864.52,1818.66,1864.1,29.92017
1686137400000,1864.01,1865.71,1863.95,1865.71,13.79556
1686137460000,1865.88,1869.18,1865.88,1869.18,25.08988
1686137520000,1869.33,1872.33,1858.04,1872.33,35.15702
1686137580000,1873.74,1876.21,1873.04,1873.48,15.14695
1686137640000,1873.02,1874.73,1858.04,1874.56,41.95068
1686137700000,1874.69,1874.73,1858.04,1873.96,23.15661
1686137760000,1872.68,1872.68,1858.54,1871.33,11.63246
1686137820000,1871.33,1871.33,1871.33,1871.33,0.0
1686137880000,1870.23,1870.33,1869.04,1869.3,4.11294
1686137940000,1868.64,1872.92,1868.64,1870.11,8.25829
1686138000000,1870.0,1874.73,1868.36,1868.99,30.84904
1686138060000,1869.0,1874.73,1868.71,1870.03,28.05965
1686138120000,1870.03,1870.76,1870.03,1870.76,12.72276
1686138180000,1870.64,1871.25,1868.6,1868.8,25.23947
1686138240000,1868.9,1869.49,1868.76,1869.24,7.50664
1686138300000,1869.05,1869.66,1868.48,1868.65,10.6123
1686138360000,1868.61,1868.61,1867.91,1868.26,3.07291
1686138420000,1867.83,1868.46,1867.83,1868.46,4.35699
1686138480000,1868.42,1868.42,1868.05,1868.05,3.90733
1686138540000,1867.59,1868.22,1867.57,1868.22,4.66296
1686138600000,1867.95,1867.95,1867.19,1867.26,3.10598
1686138660000,1867.48,1869.0,1867.48,1867.79,12.03408
1686138720000,1867.4,1867.4,1867.14,1867.39,2.9506
1686138780000,1867.67,1868.72,1867.67,1868.51,9.96676
1686138840000,1868.6,1868.66,1867.6,1867.8,10.01042
1686138900000,1867.68,1868.66,1866.96,1867.76,29.34005
1686138960000,1867.86,1899.63,1867.86,1870.27,37.08232
1686139020000,1869.01,1869.58,1868.34,1868.34,4.85047
1686139080000,1868.08,1868.81,1868.05,1868.81,5.61889
1686139140000,1868.82,1869.73,1868.82,1869.73,6.84185
1686139200000,1870.23,1870.79,1868.8,1868.89,16.87607
1686139260000,1869.11,1869.75,1867.55,1867.55,20.48047
1686139320000,1867.54,1867.54,1866.9,1866.95,3.64686
1686139380000,1866.67,1866.89,1855.47,1865.59,14.9458
1686139440000,1865.57,1899.63,1863.59,1866.28,32.18812
1686139500000,1865.96,1865.96,1865.44,1865.44,3.38751
1686139560000,1864.57,1865.79,1861.6,1863.47,30.73412
1686139620000,1863.47,1864.29,1862.58,1862.62,14.08286
1686139680000,1862.85,5961.12,1862.85,1865.4,13.3189
1686139740000,1865.51,1865.74,1864.45,1864.45,8.64821
1686139800000,1864.03,1864.74,1854.72,1863.56,7.64897
1686139860000,1863.57,1863.84,1863.57,1863.84,2.08715
1686139920000,1863.33,1863.59,1859.64,1862.94,15.13319
1686139980000,1862.94,1871.28,1862.94,1864.14,14.07714
1686140040000,1863.88,1863.88,1863.82,1863.82,0.76651
1686140100000,1863.33,1863.82,1863.17,1863.82,9.7881
1686140160000,1863.82,1864.89,1863.18,1863.85,22.66522
1686140220000,1863.59,1863.59,1767.2,1861.4,8.20511
1686140280000,1861.4,1863.35,1860.54,1863.35,33.35338
1686140340000,1863.4,1864.1,1863.31,1864.1,6.42215
1686140400000,1864.22,1864.22,1863.63,1863.72,8.73475
1686140460000,1863.47,1864.22,1863.22,1864.22,15.86379
1686140520000,1864.22,1864.22,1863.89,1864.22,40.0193
1686140580000,1864.22,1864.22,1864.19,1864.22,48.3169
1686140640000,1864.22,1865.42,1864.22,1865.42,7.2537
